Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.067168704,0.869320102,0.901555064,1.083089242,0.821905721,1.045763798,1.095700333,0.989534152,1.126529454,1.155427766,0.981119655,1.120269402,1.190159903,1.418502039,1.426260748,1.64492364,1.801888352
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,2.868273605,7.235549086,10.02782099,10.63577819,29.62064138,29.83883543,25.2392877,24.40523335,22.97786665,22.23309637,21.80714827,21.74510633,19.21620003,19.07261256,24.73887516,24.21824757,23.84038437,23.27953548,22.80629203,22.51118856,22.1353117,22.62298873,21.68383147
Australia,AUS,8.641569017,8.835688047,9.226439909,9.759073431,10.62232139,10.32809244,10.9556248,11.21016771,11.60055435,11.80289054,11.80911757,11.95163155,12.77968685,12.55966873,12.65989981,12.41679178,13.23189614,14.06985862,14.12909198,15.02491601,15.43250084,15.42493181,14.64008413,15.2209753,15.3084102,14.98057315,15.7469578,15.79616778,16.51986292,16.83737288,16.28848982,16.83089071,17.10062806,17.02367012,17.0116172,17.98153733,18.01715505,18.54058404,17.19979166,17.20903399,16.73412301,17.372691,17.4149047,17.35063038,18.01405569,18.2328628,18.07162335,18.56961909
Austria,AUT,4.496361641,4.755361673,5.155193747,5.391003988,5.252196533,5.361724683,5.417736727,5.711110104,6.006325178,6.788807307,6.953651912,7.448516814,7.930866985,7.562697278,7.176844855,7.721250012,7.428063284,7.601371804,8.158846402,6.928479,7.416160614,7.112124941,6.874373273,7.214278667,7.230766353,7.144304852,7.623419815,7.032030698,7.102448997,7.9397498,8.496400014,7.720114214,7.363562791,7.256264083,7.627167042,7.671242567,7.700752418,7.966753289,7.726907343,7.712468449,7.912807703,8.057279444,8.904462555,8.82515774,9.040670996,8.722863044,8.289283861,8.123596515
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98383663,5.775219213,5.578937212,4.370338712,4.066151745,3.823139604,3.992780488,3.6703304,3.795207862,3.629386034,3.671958468,3.784526056,3.88397833,4.110154733,4.634019954,4.921923951,5.379109136
"Bahamas, The",BHS,4.746533811,5.996085556,5.557805874,8.117867907,9.399006162,7.465319479,11.17233313,10.28601775,10.6262031,15.19914741,38.72098922,36.49494796,43.38007053,39.92093079,43.70422513,33.51697125,49.30513978,32.79794912,33.64546823,37.94108737,13.01067199,10.27548731,8.960472359,8.070944197,6.441205186,5.907363937,5.849446628,6.225076695,7.736993933,7.616676037,6.832264372,6.747276688,6.339673662,6.24422894,6.186507681,6.101389961,6.064491308,6.171169869,6.111916133,6.0367007,5.957540632,6.811148427,6.028897392,6.384706058,6.602386663,6.596992588,6.534256114,6.462235622
Bahrain,BHR,10.59439882,9.236990261,6.747429023,8.792749391,6.592103074,3.402953852,5.149673775,5.523861714,6.198269773,12.23614061,13.84737988,16.12962695,23.15825184,21.56172537,21.69830668,23.29511949,24.77020749,24.13887136,23.8530295,22.03537576,22.9141918,25.63560587,20.87645752,22.74500345,24.45082976,25.55907809,25.61973318,26.31730869,24.55688239,24.11232301,22.703216,20.37786706,28.44125426,27.97342522,28.65679013,27.17175091,29.2068295,30.11053487,28.75023015,29.2122101,21.67634122,24.44971265,25.44717722,25.71638234,25.65559797,24.87871113,23.2046238,21.36030575
Bangladesh,BGD,,,,,,,,,,,,0.051259483,0.066069813,0.066996184,0.068994424,0.077305617,0.078632729,0.079109194,0.084861358,0.094740039,0.095697092,0.10098026,0.094169914,0.101565792,0.110903749,0.120885649,0.121757482,0.135374612,0.131028533,0.147577413,0.147913464,0.161017833,0.154531297,0.164866621,0.194200919,0.20036784,0.204820319,0.19262986,0.198346567,0.215024646,0.245931148,0.250991484,0.247771054,0.286623654,0.267823547,0.32766486,0.326002414,0.319820179
Barbados,BRB,0.839260884,1.11986322,0.816647823,0.766385874,0.872831756,1.134707009,1.426830145,1.856912573,2.021303812,1.798204474,2.018187049,2.08158031,1.977275066,2.010276845,2.313837799,2.156857575,2.388992749,2.54746374,2.423964434,2.711972861,2.746035496,2.573240992,2.720963268,2.953941653,3.329456526,3.587613293,3.672687664,3.672394719,3.828831964,4.140373255,4.633909607,3.749345169,4.256708097,2.848296318,3.146133872,3.219624807,3.402952982,4.288308309,4.536358797,4.441342599,4.55312239,4.569886873,4.709850811,4.795204244,5.002247665,5.059573087,4.96821271,4.971426997
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.563751566,7.271325422,6.445128092,6.093680596,5.920977854,5.883075714,5.72028692,5.562438864,5.34418061,5.275266743,5.278632645,5.440725552,5.926117635,6.03977468,6.350607244,6.210693053,6.541940221
