line,lat,long,county_name,position,income2011,income2000,stop_name,county,tract,tract_lookup
Z,40.683417,-73.911242,Brooklyn,10,27301,26341,Chauncey St.,47,40300,040300
Z,40.678334,-73.903922,Brooklyn,11,51691,20714,Broadway Junction,47,36700,036700
Z,40.677864,-73.891566,Brooklyn,12,36812,21081,Van Siclen Ave.,47,119800,119800
Z,40.681643,-73.878984,Brooklyn,13,48556,33250,Norwood Ave.,47,117400,117400
Z,40.683478,-73.872548,Brooklyn,14,43672,35625,Crescent St.,47,117800,117800
Z,40.691285,-73.866425,Queens,15,60651,41845,75 St.-Elderts Ln.,81,400,000400
Z,40.694077,-73.850476,Queens,16,55759,62813,Woodhaven Blvd.,81,2000,002000
Z,40.695267,-73.843223,Queens,17,88304,42378,104 St.,81,2600,002600
Z,40.70052,-73.829231,Queens,18,53861,40125,121 St.,81,14400,014400
Z,40.700554,-73.807353,Queens,19,50417,40000,Sutphin Blvd.-Archer Ave.-J.F.K. Airport,81,20800,020800
Z,40.701874,-73.801747,Queens,20,37184,31943,Jamaica Center-Parsons-Archer,81,24000,024000
