gsa_building_no,address,city,state,zipcode,latitude,longitude,costar_number,bldg_rsf,total_leased_rsf,percent_govt_leased,total_annual_rent,rent_prsf,remaining_total_term,remaining_firm_term
FL2499,650 NW PEACOCK BOULEVARD,PORT SAINT LUCIE,FL,34986-2211,27.330229,-80.405734,5994656,23566.0,13992.0,59.37,790209.49,56.48,0.16,0.16
FL2094,7800 PETERS RD,PLANTATION,FL,33324-4006,26.105337,-80.253307,793174,13728.0,5775.0,42.07,132548.94,22.95,0.16,0.0
FL2981,235 S MAIN STREET,GAINESVILLE,FL,32601-1818,29.649538,-82.324977,1447835,35000.0,4617.0,13.19,77100.07,16.7,0.16,0.0
FL2201,2063 NW 79TH AVE,MIAMI,FL,33122-1614,25.792469,-80.324109,370220,112766.0,3680.0,3.26,44711.11,12.15,0.16,0.0
GA2355,225 MILLARD FARMER INDUSTRIAL BLVD,NEWNAN,GA,30263-3000,33.400808,-84.781074,896566,5175.0,4260.0,82.32,79646.12,18.7,0.16,0.0
GA2171,57 EXECUTIVE PARK DR NE,ATLANTA,GA,30329-2288,33.827989,-84.341295,41864,100280.0,11012.0,10.98,259759.68,23.59,0.16,0.0
ID4323,825 SHOUP AVE,IDAHO FALLS,ID,83402-3404,43.496142,-112.036667,GSA,5582.0,5582.0,100.0,90702.88,16.25,0.16,0.0
IL2221,10850 LINCOLN TRAIL,FAIRVIEW HEIGHTS,IL,62208-2026,38.592845,-89.990592,762005,59722.0,8561.0,14.33,126145.68,14.73,0.16,0.0
IN1786,1843 COMMERCE DRIVE,SOUTH BEND,IN,46628-1545,41.699635,-86.307528,685046,40500.0,5785.0,14.28,100925.13,17.45,0.16,0.0
KY2073,262-264 BLACK GOLD BLVD.,HAZARD,KY,41701-2603,37.254019,-83.200917,,4828.0,4828.0,100.0,110164.17,22.82,0.16,0.0
KY2015,15169 FERRELLS CREEK DR,BELCHER,KY,41513-8528,37.342498,-82.373695,GSA,4287.0,4287.0,100.0,52812.07,12.32,0.16,0.0
MD1828,6116 EXECUTIVE BLVD.,ROCKVILLE,MD,20852-4920,39.04805442,-77.12610241,41221,207055.0,163857.0,79.14,5916976.43,36.11,0.16,0.16
MD0225,3341 75th AVENUE,HYATTSVILLE,MD,20785-1511,38.933817,-76.882183,142457,108667.0,67526.0,62.14,536156.44,7.94,0.16,0.0
MD0742,6700 ROCKLEDGE DRIVE,BETHESDA,MD,20817-3206,39.029634,-77.132653,132145,306658.0,159731.0,52.09,5128174.37,32.11,0.16,0.16
ME4164,CLEMENT HUFF ROAD,KENNEBUNKPORT,ME,04046-6711,43.3717909,-70.439155,GSA,5000.0,5000.0,100.0,21000.0,4.2,0.16,0.0
MN1626,7850 METRO PARKWAY,BLOOMINGTON,MN,55425-1521,44.861017,-93.229111,1034680,39917.0,6610.0,16.56,132662.56,20.07,0.16,0.0
ND1313,1471 INTERSTATE LOOP,BISMARCK,ND,58503-0567,46.832547,-100.769457,GSA,5290.0,5290.0,100.0,87291.69,16.5,0.16,0.0
NH6123,811 CANAL STREET,MANCHESTER,NH,03101-1226,42.998505,-71.466853,GSA,36837.0,9062.0,24.6,201715.78,22.26,0.16,0.0
NJ4352,30 MONTGOMERY STREET,JERSEY CITY,NJ,07302-3829,40.716654,-74.03561,166340,300000.0,6285.0,2.1,207405.0,33.0,0.16,0.0
NY6296,LAKE ST & W3RD ST OSWEG,OSWEGO,NY,13126-1318,43.4307364,-76.4655,GSA,4875.0,4875.0,100.0,85102.83,17.46,0.16,0.16
NY7099,375 NORTH BROADWAY,JERICHO,NY,11753-2016,40.781581,-73.531743,181500,42572.0,15722.0,36.93,494476.03,31.45,0.16,0.0
NY5520,300 HAMILTON AVE,WHITE PLAINS,NY,10601-1810,41.03412,-73.767632,178600,36444.0,5056.0,13.87,145032.12,28.69,0.16,0.0
NY5848,59-17 JUNCTION BLVD,NEW YORK-QUEENS,NY,11368-0000,40.73479,-73.864891,GSA,395182.0,43470.0,11.0,1536588.89,35.35,0.16,0.0
PA0737,120 MERCHANT STREET,AMBRIDGE,PA,15003-2112,40.580233,-80.22248,7226229,8300.0,8300.0,100.0,117501.22,14.16,0.16,0.0
TN2176,3401 RUSS CIRCLE,ALCOA,TN,37701-3279,35.831241,-83.969398,GSA,14636.0,6147.0,42.0,127265.56,20.7,0.16,0.16
TN2515,208 SUNSET DRIVE,JOHNSON CITY,TN,37604-2517,36.34269,-82.377178,1555936,70597.0,8522.0,12.07,301251.97,35.35,0.16,0.0
TN2162,7108 CROSSROADS BLVD. STE 329,BRENTWOOD,TN,37027-7900,35.959311,-86.819675,811832,98877.0,5340.0,5.4,75437.8,14.13,0.16,0.16
TX2249,1433 W LOOP SOUTH,HOUSTON,TX,77027-9500,29.75362,-95.455075,239738,138000.0,132995.0,96.37,2074170.88,15.6,0.16,0.0
TX2653,5450 STRATUM DRIVE,FORT WORTH,TX,76137-5001,32.842251,-97.298304,792640,43132.0,29655.0,68.75,645195.59,21.76,0.16,0.16
VA0665,1014-1018 SOUTH MAIN STREET,CULPEPER,VA,22701-3423,38.4673949,-77.9983278,GSA,5520.0,5520.0,100.0,135001.53,24.46,0.16,0.16
VA0644,3303 AIRLINE BLVD.,PORTSMOUTH,VA,23701-2665,36.806675,-76.376764,939051,18000.0,11362.0,63.12,189843.48,16.71,0.16,0.16
VA0662,111 CYBERNETICS WAY,YORKTOWN,VA,23693-5642,37.118224,-76.464709,943154,64992.0,8005.0,12.32,167272.83,20.9,0.16,0.0
WA7638,11410 NE 122ND WAY,KIRKLAND,WA,98034-6945,47.709386,-122.189298,470157,64116.0,4297.0,6.7,128253.33,29.85,0.16,0.16
WI1634,780 REGENT STREET,MADISON,WI,53715-2635,43.06768,-89.398833,1276936,68729.0,4542.0,6.61,124854.17,27.49,0.16,0.0
KY2075,2260 EXECUTIVE DRIVE,LEXINGTON,KY,40505-4808,38.044258,-84.428305,GSA,15261.0,15261.0,100.0,292332.6,19.16,0.17,0.17
KY2098,311 N. ARNOLD AVENUE,PRESTONSBURG,KY,41653-1279,37.671136,-82.776731,GSA,59077.0,3072.0,5.2,54056.56,17.6,0.17,0.17
FL2401,14548 SOUTH MILITARY TRAIL,DELRAY BEACH,FL,33484-3757,26.459968,-80.122555,GSA,120052.0,11645.0,9.7,384285.0,33.0,0.17,0.17
WV0241,26-34-50 MCDOWELL STREET,WELCH,WV,24801-2439,37.431567,-81.58552,GSA,8693.0,8693.0,100.0,155032.6,17.83,0.17,0.17
CA7012,"1137 NORTH ""H"" STREET",LOMPOC,CA,93436-8109,34.655968,-120.457731,5554369,14677.0,4000.0,27.25,93679.92,23.42,0.17,0.0
DC0684,"1801 PENNSYLVANIA AVENUE, NW",WASHINGTON,DC,20006-3606,38.899591,-77.041695,112469,181090.0,15666.0,8.65,839667.75,53.6,0.18,0.18
NY7226,8 AUTOMATION LANE,ALBANY,NY,12205-1604,42.719795,-73.807516,1398019,12768.0,5060.0,39.63,87688.47,17.33,0.18,0.0
OR6596,2504 OAKMONT WAY,EUGENE,OR,97401-5522,44.067654,-123.077725,6269552,11600.0,11600.0,100.0,294168.0,25.36,0.18,0.18
CA7325,625 N. AKERS,VISALIA,CA,93291-9406,36.338067,-119.349827,5380835,7364.0,5882.0,79.88,146454.67,24.9,0.18,0.0
DC0690,"1201 EYE ST., NW",WASHINGTON,DC,20005-5905,38.901316,-77.0281,129207,269299.0,219750.0,81.6,1.032025273E7,46.96,0.18,0.18
WI1623,1901 E CAPITOL DR,APPLETON,WI,54911-8488,44.29463,-88.379669,7382581,8208.0,5614.0,68.4,75676.72,13.48,0.18,0.0
GA2230,220 CARL VINSON PKWY,WARNER ROBINS,GA,31088-5832,32.599775,-83.665092,7975204,11200.0,11200.0,100.0,120768.64,10.78,0.19,0.0
VA0658,1001 OMNI BOULEVARD,NEWPORT NEWS,VA,23606-4298,37.087424,-76.46789,942155,58256.0,8532.0,14.65,176325.74,20.67,0.2,0.0
TX2777,12301 RESEARCH BLVD,AUSTIN,TX,78759-2302,30.427674,-97.755283,598532,184159.0,46660.0,25.34,1855668.2,39.77,0.2,0.0
CA7113,700 JEFFERSON AVE.,REDWOOD CITY,CA,94063-1833,37.487041,-122.228231,333294,20000.0,10400.0,52.0,416438.18,40.04,0.2,0.0
KS1540,901 N 5TH ST,KANSAS CITY,KS,66101-2907,39.115065,-94.621373,79613,203475.0,203475.0,100.0,5241342.44,25.76,0.2,0.0
NC2314,1633 JOHN SMALL AVENUE,WASHINGTON,NC,27889-8032,35.545796,-77.028615,GSA,6000.0,6000.0,100.0,117432.87,19.57,0.2,0.0
NC2283,800 CENTERPARK DR.,ASHEVILLE,NC,28805-1277,35.6190182,-82.474518,GSA,14400.0,14400.0,100.0,318320.07,22.11,0.2,0.0
IN1714,600 N. WALNUT ST,MUNCIE,IN,47305-1453,40.199239,-85.386331,GSA,11966.0,11966.0,100.0,175631.41,14.68,0.21,0.0
UT1396,1279 W 2200 SOUTH,WEST VALLEY CITY,UT,84119-1471,40.723918,-111.926363,1065403,13300.0,5075.0,38.16,90686.5,17.87,0.21,0.0
KY3016,7125 INDUSTRIAL ROAD,FLORENCE,KY,41042-2907,38.979375,-84.615066,58068,167939.0,167939.0,100.0,1662535.84,9.9,0.21,0.0
AR1173,10825 FINANCIAL CENTRE PKWY,LITTLE ROCK,AR,72211-3553,34.748384,-92.395221,6097400,117514.0,16979.0,14.45,342186.59,20.15,0.21,0.0
KY3001,1650 MARIE DR.,HOPKINSVILLE,KY,42240-4944,36.841346,-87.476938,GSA,9370.0,9370.0,100.0,168370.75,17.97,0.21,0.0
MD0229,5000-5010 BOIL BROOK PKWY,ROCKVILLE,MD,20852-2308,39.0476914,-77.0997522,900704,32458.0,20595.0,63.45,291213.3,14.14,0.21,0.21
NC2626,7029 ALBERT PICK ROAD,GREENSBORO,NC,37409-9538,36.076636,-79.948231,1088464,55688.0,4590.0,8.24,89215.96,19.44,0.21,0.0
PA0523,1760 MARKLEY ST.,NORRISTOWN,PA,19401-2902,40.131765,-75.334057,GSA,359179.0,10057.0,2.8,240140.33,23.88,0.21,0.0
IA1466,1615 CENTRAL AVENUE,FORT DODGE,IA,50501-4231,42.506197,-94.17559,GSA,3105.0,3105.0,100.0,50569.28,16.29,0.21,0.0
NJ4542,299 CHERRY HILL ROAD,PARSIPPANY,NJ,07054-1111,40.869173,-74.438955,171931,80625.0,6881.0,8.53,200204.25,29.1,0.21,0.0
NY6488,BLDG NO.77 JFK AIRPORT,NEW YORK-QUEENS,NY,11430-1807,40.666268,-73.809779,GSA,275826.0,145912.0,52.9,7784256.85,53.35,0.21,0.21
CA7103,800 TRUXTON AVE,BAKERSFIELD,CA,93301-4727,35.37341,-119.011258,8026804,42415.0,42415.0,100.0,1773137.82,41.8,0.22,0.0
MD0249,8741 DARCY ROAD,FORESTVILLE,MD,20747-2611,38.857673,-76.853552,143293,185000.0,6383.0,3.45,51064.0,8.0,0.22,0.22
FL2407,3174 EAST TAMIAMI TRAIL,NAPLES,FL,34112-5754,26.127803,-81.767829,6883085,10320.0,10320.0,100.0,260976.04,25.29,0.22,0.0
KS1504,11510 W 80TH ST,OVERLAND PARK,KS,66214-3338,38.983888,-94.721401,783616,55821.0,55821.0,100.0,1114234.23,19.96,0.22,0.0
AL2159,736 NORTH STREET,TALLADEGA,AL,35160-2528,33.438867,-86.087954,GSA,7317.0,7317.0,100.0,118513.67,16.2,0.23,0.23
MD0259,7945-7955 FERNHAM LANE,FORESTVILLE,MD,20747-4518,38.846621,-76.868456,GSA,60891.0,12848.0,21.1,112645.23,8.77,0.23,0.23
FL2668,3200 SW 34TH AVENUE,OCALA,FL,34474-7422,29.152439,-82.177898,731872,80261.0,8046.0,10.02,168293.88,20.92,0.23,0.0
TX1157,800 BRAZOS STREET,AUSTIN,TX,78701-2538,30.269562,-97.740786,591177,97002.0,4419.0,4.56,104648.6,23.68,0.23,0.23
NE1389,5303 F ST,OMAHA,NE,68117-2805,41.219721,-95.99689,7819911,18055.0,18055.0,100.0,266778.17,14.78,0.23,0.07
SC2118,115 ENTERPRISE CT,GREENWOOD,SC,29649-1689,34.217386,-82.166244,GSA,10753.0,10516.0,97.8,145813.08,13.87,0.23,0.0
IN1778,801 WABASH,TERRE HAUTE,IN,47807-3205,39.4665,-87.405117,GSA,7940.0,3970.0,50.0,58695.56,14.78,0.24,0.0
WA7628,3859 MARTIN WAY E,OLYMPIA,WA,98506-5268,47.047538,-122.839461,GSA,11197.0,3415.0,30.5,67753.6,19.84,0.24,0.0
NY6408,445 FOREST AVENUE,NEW YORK-RICHMOND,NY,10301-2638,40.63078,-74.104065,6750046,12214.0,4206.0,34.44,83897.87,19.95,0.24,0.24
AL2160,SOCIAL SECURITY ADMINISTRATION,FAIRHOPE,AL,36532-2997,30.524318,-87.879166,GSA,7587.0,7587.0,100.0,153299.08,20.21,0.25,0.25
AL2132,310 S 3RD ST,GADSDEN,AL,35901-5209,34.00898,-86.004236,GSA,11210.0,3251.0,29.0,59720.87,18.37,0.25,0.0
AZ7209,207 E. CLARENDON STREET,PHOENIX,AZ,85012-2072,33.491438,-112.076606,5885431,23967.0,23967.0,100.0,771737.4,32.2,0.25,0.0
CA7484,6940 AIRPORT BLVD,SACRAMENTO,CA,95837-1109,38.7238289,-120.7646529,,4697.0,4697.0,100.0,679186.2,144.6,0.25,0.0
CA6699,345 MIDDLEFIELD RD,MENLO PARK,CA,94025-3561,37.456846,-122.168587,7593593,36296.0,7291.0,20.09,148633.44,20.39,0.25,0.25
CA7510,6144 CALLE REAL,GOLETA,CA,93117-2012,34.439636,-119.834597,5390269,28906.0,3838.0,13.28,160031.88,41.7,0.25,0.0
CA6389,26722 PLAZA DRIVE,MISSION VIEJO,CA,92691-6390,33.565085,-117.663193,280144,41913.0,5477.0,13.07,144000.0,26.29,0.25,0.0
CA7471,SAN JOSE INTERNATIONAL AIRPORT,SAN JOSE,CA,95112-4538,37.3694287,-121.9295009,305691,162500.0,4708.0,2.9,1170314.64,248.58,0.25,0.0
CA6406,21800 OXNARD STREET,LOS ANGELES,CA,91367-3633,34.179153,-118.602888,247630,222708.0,4239.0,1.9,141309.96,33.34,0.25,0.0
CO1669,7201&7301 W. MANSFIELD,LAKEWOOD,CO,80235-2227,39.6426184,-105.0615865,393991,142112.0,142112.0,100.0,3646883.18,25.66,0.25,0.25
CO1929,7401 W. MANSFIELD AVENUE,LAKEWOOD,CO,80235-2212,39.646055,-105.079697,400244,70884.0,70884.0,100.0,1910766.35,26.96,0.25,0.25
