id,createddatetime,postedtime,body,retweetcount,title,subtitle,summary,verb,userid,content,generator,geotype,language,favcount,urls,inreplyto,locationname,objecttype,nsale,provider,hashtags,expandedurl,kloutscore,rule,profilelocationtype,profilelocationlatitude,profilelocationlongitude,profilelocationcoordinates,kloutprofileid,profilelocationcountry,profilelocationlocality,profilelocationregion,id,displayname,followerscount,friendscount,listedcount,image,languages,link,locationdisplayname,preferredusername,statusescount,summary,twittertimezone,utcoffset,favoritescount
tag:search.twitter.com2005:376490297208741889,3000-01-01 00:00:00,2013-09-07 23:40:56,RT @MBfashionweek: Flowing in #Spring2014 shades of #red @m_lhuillier #MBFW http://t.co/DEhrWJQA5K,1,"","","",share,id:twitter.com:114887750,"",web,"",en,-1,http://t.co/DEhrWJQA5K ,"","",activity,f,Twitter,Spring2014;red;MBFW,http://instagram.com/p/d-ls2vHtEr/ ,69,"contains:""@m_lhuillier""",point,19.42847,-99.12766,,,Mexico,Mexico City,The Federal District,id:twitter.com:114887750,Reforma Moda!,178650,1907,577,https://si0.twimg.com/profile_images/700101581/twitter_moda_normal.gif,es,http://www.twitter.com/modareforma,Ciudad de México,modareforma,163967,La tia Paz Arela en su particular estilo comenta todas las novedades de la moda nacional e internacional.,Mexico City,-18000,
tag:search.twitter.com2005:376490298462851072,3000-01-01 00:00:00,2013-09-07 23:40:56,This Monique Lhuillier Spring/Summer 2014 collection is my favorite for the women`s wear so far from New York Fashion Week. #NYFW #mbfw,0,"","","",post,id:twitter.com:333637322,"",web,"",en,-1,"","","",activity,f,Twitter,NYFW;mbfw,"",37,"""monique lhuillier""",point,31.25044,-99.25061,,,United States,"",Texas,id:twitter.com:333637322, ♪♬   Melvin S.   ツ ,647,238,8,https://si0.twimg.com/profile_images/378800000329776975/8c2ef1312655e2d8fb15b0755a7541ab_normal.jpeg,en,http://www.twitter.com/lilshivers933,    Tempe Az /  Texas ✔   ©  ,lilshivers933,19083,Member of #TKE Beta-Xi Fraternity. Live my life w/ no regrets. Music Is My Life! #ASUsundevil / #Glover |#TranceFamily|#CSC| Peace.Love.Unity.Respect,Central Time (US & Canada),-18000,
tag:search.twitter.com2005:376490377907544064,3000-01-01 00:00:00,2013-09-07 23:41:15,Finale @M_Lhuillier #NYFW #MBFW https://t.co/2hTN4zrNV5,0,"","","",post,id:twitter.com:21239274,"",Vine - Make a Scene,"","",-1,https://t.co/2hTN4zrNV5 ,"","",activity,f,Twitter,NYFW;MBFW,https://vine.co/v/hJ9Q3AarmPU ,61,"contains:""@m_lhuillier""",point,40.71427,-74.00597,,,United States,New York City,New York,id:twitter.com:21239274,FashionistaNYC,7707,2649,261,https://si0.twimg.com/profile_images/2168478117/FDG-GOLD-180-on-black_normal.png,en,http://www.twitter.com/FashionistaNYC,NYC,FashionistaNYC,15817,Fashion Editor for The Examiner News and Blogger for Fashion Development Group. Social Media Junky and Certified Shopaholic.,Eastern Time (US & Canada),-14400,
tag:search.twitter.com2005:376490425533476864,3000-01-01 00:00:00,2013-09-07 23:41:26,RT @MBfashionweek: Flowing in #Spring2014 shades of #red @m_lhuillier #MBFW http://t.co/DEhrWJQA5K,2,"","","",share,id:twitter.com:54536407,"",web,"",en,-1,http://t.co/DEhrWJQA5K ,"","",activity,f,Twitter,Spring2014;red;MBFW,http://instagram.com/p/d-ls2vHtEr/ ,41,"contains:""@m_lhuillier""",point,34.05223,-118.24368,,,United States,Los Angeles,California,id:twitter.com:54536407,Stanzino,742,1923,3,https://si0.twimg.com/profile_images/3174092647/890f8ea87d4501fc009d9f44e807701c_normal.jpeg,en,http://www.twitter.com/stanzino,Downtown Los Angeles CA 90015,stanzino,10720,Shop Vogue Shop Stanzino,Pacific Time (US & Canada),-28800,
tag:search.twitter.com2005:376490495478083584,3000-01-01 00:00:00,2013-09-07 23:41:43,RT @Cryptic_Beauty: #NYFW | @M_Lhuillier &lt;-- is one of my many inspirations. LOVE HER!!! #TheCrypticBeauty #MBFW [@MBfashionweek] http://t.…,1,"","","",share,id:twitter.com:1049596494,"",Twitter for iPhone,"",en,-1,http://t.co/K67TK9po2Y ,"","",activity,f,Twitter,NYFW;TheCrypticBeauty;MBFW,"",44,"contains:""@m_lhuillier""",point,25.77427,-80.19366,,,United States,Miami,Florida,id:twitter.com:1049596494,Akira ,148,376,3,https://si0.twimg.com/profile_images/3044921487/de176de5464ff76d92f11b7edadddb57_normal.jpeg,en,http://www.twitter.com/Phoenix_immer,Miami FL,Phoenix_immer,3943,Living every second that life has to offer. Always trying to smile and laugh. I love films books music family fashion and too many other things.,"",0,
tag:search.twitter.com2005:376490631784194048,3000-01-01 00:00:00,2013-09-07 23:42:16,RT @MBfashionweek: Cropped with maxi always a good look especially made by @m_lhuillier #Spring2014 #MBFW http://t.co/J2oUrKaIPs,2,"","","",share,id:twitter.com:56432506,"",web,"",en,-1,http://t.co/J2oUrKaIPs ,"","",activity,f,Twitter,Spring2014;MBFW,http://instagram.com/p/d-ljTXntEY/ ,35,"contains:""@m_lhuillier""",point,30.06263,31.24967,,,Egypt,Cairo,Al Qāhirah,id:twitter.com:56432506,Maria Mahammed,223,873,1,https://si0.twimg.com/profile_images/378800000236750407/68f487e751579a816de07686198b117e_normal.jpeg,en,http://www.twitter.com/Maria_Mahammed,Cairo,Maria_Mahammed,2561,Fashion designer Fashion Blogger    sometimes we must fight in order to be free - Jared Leto,Athens,10800,
tag:search.twitter.com2005:376490674495193088,3000-01-01 00:00:00,2013-09-07 23:42:26,“@FashionistaNYC: Finale @M_Lhuillier #NYFW #MBFW https://t.co/LUblggGSPe”,0,"","","",post,id:twitter.com:257482364,"",Twitter for iPhone,"","",-1,https://t.co/LUblggGSPe ,http://twitter.com/FashionistaNYC/statuses/376490377907544064,"",activity,f,Twitter,NYFW;MBFW,https://vine.co/v/hJ9Q3AarmPU ,59,"contains:""@m_lhuillier""",point,43.00035,-75.4999,,,United States,"",New York,id:twitter.com:257482364,Nico Bellay,141803,141775,509,https://si0.twimg.com/profile_images/2095429008/Screen_Shot_2012-04-01_at_6.21.56_PM_normal.png,en,http://www.twitter.com/IAMFASHlON,New York NY,IAMFASHlON,15215,"",Eastern Time (US & Canada),-14400,
tag:search.twitter.com2005:376490759622782977,3000-01-01 00:00:00,2013-09-07 23:42:46,#nyfw #mbfw or #Givenchy dress with little Louis? xoxo playing dress up in front of my #LigneRoset… http://t.co/K0JXtLxPXu,0,"","","",post,id:twitter.com:223172743,"",Instagram,"",en,-1,http://t.co/K0JXtLxPXu ,"","",activity,f,Twitter,nyfw;mbfw;Givenchy;LigneRoset…,http://instagram.com/p/d-l7ibNvvE/ ,45,"""givenchy""",point,34.05223,-118.24368,,,United States,Los Angeles,California,id:twitter.com:223172743,stephanie,710,118,15,https://si0.twimg.com/profile_images/2887900804/f89062c988e07f098d41a2fffe42f4dd_normal.jpeg,en,http://www.twitter.com/stefie8888,los angeles,stefie8888,20370,vp merchandising-love Pucci Harry Winston Alaia McQueen Louis Vuitton Christian Louboutin Barneys Bergdorfs Neiman Marcus Parrot Cay Paris + my beau!,Pacific Time (US & Canada),-28800,
tag:search.twitter.com2005:376490811833462785,3000-01-01 00:00:00,2013-09-07 23:42:59,Wow @M_Lhuillier! Bravo! #nyfw #mbfw,0,"","","",post,id:twitter.com:15247520,"",Twitter for iPhone,"",en,-1,"","","",activity,f,Twitter,nyfw;mbfw,"",52,"contains:""@m_lhuillier""",point,39.95234,-75.16379,,,United States,Philadelphia,Pennsylvania,id:twitter.com:15247520,Juliet Williams,3644,2894,86,https://si0.twimg.com/profile_images/2983450463/8ba68cce39b9a841228e39da7a76c479_normal.jpeg,en,http://www.twitter.com/JulReDesigns,Philadelphia PA ,JulReDesigns,15311,Cupcake-addicted Jewelry Designer. Fanatical Foodie. Rabid Sports Fan. Former Fashion and Personal Image Consultant. Current Lover of Life.,Eastern Time (US & Canada),-14400,
tag:search.twitter.com2005:376490835799310338,3000-01-01 00:00:00,2013-09-07 23:43:04,Loved @M_Lhuillier`s beautiful bright colors! #NYFW #MBFW http://t.co/ZiSItJcSyL,0,"","","",post,id:twitter.com:244150497,"",Echofon,"",en,-1,http://t.co/ZiSItJcSyL ,"","",activity,f,Twitter,NYFW;MBFW,"",19,"contains:""@m_lhuillier""",point,33.749,-84.38798,,,United States,Atlanta,Georgia,id:twitter.com:244150497,RagTrade Atlanta,105,216,0,https://si0.twimg.com/profile_images/1286936647/RT_Twitter_Profile_Pic_normal.jpg,en,http://www.twitter.com/RAGTRADEAtlanta,ATLANTA,RAGTRADEAtlanta,225,RAGTRADE Atlanta coming soon!,Eastern Time (US & Canada),-14400,
