stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
1040049,"ON METROPOLITAN AT 24TH WESTBOUND",,  39.073021, -94.656883,,,,,,
1040050,"ON STRONG AT 26TH WESTBOUND",,  39.075157, -94.659096,,,,,,
1040051,"ON STRONG AT 28TH WESTBOUND",,  39.075161, -94.661293,,,,,,
1040052,"ON STRONG AT 30TH WESTBOUND",,  39.075157, -94.663544,,,,,,
1040053,"ON STRONG AT 32ND WESTBOUND",,  39.075157, -94.666069,,,,,,
1040054,"ON STRONG AT 35TH WESTBOUND",,  39.075150, -94.669098,,,,,,
1040055,"ON STRONG AT 37TH WESTBOUND",,  39.075127, -94.671303,,,,,,
1040056,"ON STRONG AT 38TH WESTBOUND",,  39.075130, -94.672394,,,,,,
1040057,"ON STRONG AT 39TH WESTBOUND",,  39.075130, -94.673523,,,,,,
1040058,"ON STRONG AT 41ST WESTBOUND",,  39.075127, -94.675728,,,,,,
1040059,"ON METROPOLITAN AT 42ND EASTBOUND",,  39.073071, -94.677010,,,,,,
1040060,"ON METROPOLITAN AT 40TH EASTBOUND",,  39.073109, -94.674927,,,,,,
1040061,"ON 40TH AT RUBY SOUTHBOUND",,  39.071461, -94.674904,,,,,,
1040062,"ON 40TH AT BARBER SOUTHBOUND",,  39.069481, -94.674873,,,,,,
1040063,"ON 40TH AT LAWRENCE SOUTHBOUND",,  39.066025, -94.675110,,,,,,
1040064,"ON LAWRENCE AT DOUGLASS HGTS EASTBOUND",,  39.065926, -94.675262,,,,,,
1040065,"ON 40TH AT BARBER NORTHBOUND",,  39.069729, -94.674728,,,,,,
1040066,"ON 40TH AT RUBY NORTHBOUND",,  39.071281, -94.674759,,,,,,
1040067,"ON 40TH AT METROPOLITAN NORTHBOUND",,  39.073078, -94.674744,,,,,,
1040068,"ON METROPOLITAN AT 42ND WESTBOUND",,  39.073181, -94.677078,,,,,,
