"rfid_tag_id","location","antenna_port","action_type","content","product_style_id","product_name","customer_name","timestamp"
"ABBA00000000000000000158","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Parisi Arianne","2014-01-29T03:21:18.000Z"
"ABBA00000000000000000224","Shop My Store","2","leaderboardPush","","","","Williams Cindy","2014-01-29T03:21:19.000Z"
"DD00000000000000000012EE","Women's Dressing Room","3,4","urlPush","http://u2d2.com/p%{style_id}","3597025","Unit-Y 'Spotlite 2 - Don't Talk About It Be About It' Tee","","2014-01-29T03:21:19.000Z"
"DD0000000000000000001384","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3316772","Nike 'KO' Zip Hoodie","","2014-01-29T03:21:34.000Z"
"ABBA00000000000000000224","Color Palette","3","leaderboardPush","","","","Williams Cindy","2014-01-29T03:21:35.000Z"
"ABBA00000000000000000009","Digital Mannequin","2","leaderboardPush","","","","Bariquit Teri","2014-01-29T03:21:39.000Z"
"ABBA00000000000000000175","Smart Shelf","1","leaderboardPush","","","","Rosellini Jessi","2014-01-29T03:21:51.000Z"
"ABBA00000000000000000129","Smart Shelf","1","leaderboardPush","","","","Marten Lori","2014-01-29T03:21:56.000Z"
"DD0000000000000000001386","Women's Dressing Room","3,4","urlPush","http://u2d2.com/p%{style_id}","3511171","Nike 'Legend 2.0' Print Dri-FIT Tight Fit Capris","","2014-01-29T03:21:59.000Z"
"ABBA00000000000000000228","Color Palette","3","leaderboardPush","","","","Holland Greg","2014-01-29T03:22:01.000Z"
"ABBA00000000000000000163","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Porter Mary","2014-01-29T03:22:08.000Z"
"ABBA00000000000000000182","Smart Shelf","1","leaderboardPush","","","","Sample Michelle","2014-01-29T03:22:08.000Z"
"DD0000000000000000001384","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3316772","Nike 'KO' Zip Hoodie","","2014-01-29T03:22:10.000Z"
"ABBA00000000000000000003","Shop My Store","2","leaderboardPush","","","","Anderson Cathy","2014-01-29T03:22:17.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T03:22:20.000Z"
"ABBA00000000000000000079","Shop My Store","2","leaderboardPush","","","","Guillen Mylinda","2014-01-29T03:22:24.000Z"
"ABBA00000000000000000070","iBeacon","1","leaderboardPush","","","","Frossmo Kristin","2014-01-29T03:22:27.000Z"
"ABBA00000000000000000138","Color Palette","3","leaderboardPush","","","","Meiser Janet","2014-01-29T03:22:29.000Z"
"ABBA00000000000000000158","iBeacon","1","leaderboardPush","","","","Parisi Arianne","2014-01-29T03:22:30.000Z"
"DD0000000000000000001384","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3316772","Nike 'KO' Zip Hoodie","","2014-01-29T03:22:32.000Z"
"ABBA00000000000000000158","iBeacon","1","leaderboardPush","","","","Parisi Arianne","2014-01-29T03:22:36.000Z"
"ABBA00000000000000000155","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Ortiz Anita","2014-01-29T03:22:36.000Z"
"ABBA00000000000000000138","Color Palette","3","leaderboardPush","","","","Meiser Janet","2014-01-29T03:22:38.000Z"
"ABBA00000000000000000158","iBeacon","1","leaderboardPush","","","","Parisi Arianne","2014-01-29T03:22:42.000Z"
"ABBA00000000000000000192","iBeacon","1","leaderboardPush","","","","Smith Tricia","2014-01-29T03:22:49.000Z"
"ABBA00000000000000000141","iBeacon","1","leaderboardPush","","","","Montemayor Cherryleen","2014-01-29T03:22:56.000Z"
"DD00000000000000000012E5","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3420965","Beats by Dr. Dre™ 'Pill™' Portable Speaker","","2014-01-29T03:23:04.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:16.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:19.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:24.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:29.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:29.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:34.000Z"
"ABBA00000000000000000244","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","McDevitt Sally","2014-01-29T03:23:37.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:39.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:39.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:44.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:49.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:49.000Z"
"ABBA00000000000000000233","Dressing Room","2","leaderboardPush","","","","Endow Aiko","2014-01-29T03:23:52.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:23:54.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:00.000Z"
"DD00000000000000000012ED","Bullpen Near Dressing Rooms","1","urlPush","http://shop.nordstrom.com/s/%{style_id}","3312924","Jack Black 'King of the Road' Set","","2014-01-29T03:24:00.000Z"
"ABBA00000000000000000205","Digital Mannequin","2","leaderboardPush","","","","Thrasher Holly","2014-01-29T03:24:01.000Z"
