StationName	LINE_ID	Line	Title	Color	stop_lon	stop_lat	ROUTE	TERMINUS	WkdyEntry
Melrose/Cedar Park	HavComm04	Commuter Rail	Haverhill	B4D0D8	-71.06990191	42.45915538
Melrose/Highlands	HavComm05	Commuter Rail	Haverhill	B4D0D8	-71.06849639	42.46879311
Greenwood	HavComm06	Commuter Rail	Haverhill	B4D0D8	-71.06734049	42.482955
Wakefield	HavComm07	Commuter Rail	Haverhill	B4D0D8	-71.0757689	42.50238132
Reading	HavComm08	Commuter Rail	Haverhill	B4D0D8	-71.11067081	42.52325308
North Wilmington	HavComm09	Commuter Rail	Haverhill	B4D0D8	-71.1591567	42.56895665
Ballardvale	HavComm10	Commuter Rail	Haverhill	B4D0D8	-71.1598646	42.62698529
Andover	HavComm11	Commuter Rail	Haverhill	B4D0D8	-71.14454072	42.65814803
Lawrence	HavComm12	Commuter Rail	Haverhill	B4D0D8	-71.15827806	42.70093749
Bradford	HavComm13	Commuter Rail	Haverhill	B4D0D8	-71.08655077	42.76872646
Haverhill	HavComm14	Commuter Rail	Haverhill	B4D0D8	-71.08644939	42.77447207
Braintree	KingComm01	Commuter Rail	Kingston	B4D0D8	-71.00170254	42.20753726
South Weymouth	KingComm02	Commuter Rail	Kingston	B4D0D8	-70.95272137	42.15415109
Abington	KingComm03	Commuter Rail	Kingston	B4D0D8	-70.93422498	42.106721
Whitman	KingComm04	Commuter Rail	Kingston	B4D0D8	-70.92362523	42.08297621
Hanson	KingComm05	Commuter Rail	Kingston	B4D0D8	-70.88241995	42.04394674
Halifax	KingComm06	Commuter Rail	Kingston	B4D0D8	-70.82081138	42.01296971
Kingston	KingComm07	Commuter Rail	Kingston	B4D0D8	-70.72168514	41.97761811
Lowell	LowComm01	Commuter Rail	Lowell	B4D0D8	-71.3149939	42.63608185
North Billerica	LowComm02	Commuter Rail	Lowell	B4D0D8	-71.28120417	42.59365333
Wilmington	LowComm03	Commuter Rail	Lowell	B4D0D8	-71.17566509	42.54809785
Anderson/Woburn	LowComm04	Commuter Rail	Lowell	B4D0D8	-71.14377996	42.51574681
Mishawum	LowComm05	Commuter Rail	Lowell	B4D0D8	-71.13695782	42.50306966
Winchester Center	LowComm06	Commuter Rail	Lowell	B4D0D8	-71.13737391	42.45225687
Wedgemere	LowComm07	Commuter Rail	Lowell	B4D0D8	-71.14014904	42.44492727
West Medford	LowComm08	Commuter Rail	Lowell	B4D0D8	-71.13339203	42.42177968
North Station	LowComm09	Commuter Rail	Lowell	B4D0D9	-71.05998294	42.36514376
Braintree	MidComm01	Commuter Rail	Middleborough/Lakeville	B4D0D8	-71.00170254	42.20753726
Holbrook/Randolph	MidComm02	Commuter Rail	Middleborough/Lakeville	B4D0D8	-71.02770747	42.15542484
Montello	MidComm03	Commuter Rail	Middleborough/Lakeville	B4D0D8	-71.02341869	42.10900966
Brockton	MidComm04	Commuter Rail	Middleborough/Lakeville	B4D0D8	-71.0164264	42.08107162
Campello	MidComm05	Commuter Rail	Middleborough/Lakeville	B4D0D8	-71.011055	42.06107083
Bridgewater	MidComm06	Commuter Rail	Middleborough/Lakeville	B4D0D8	-70.9645774	41.98408622
Middleborough/Lakeville	MidComm07	Commuter Rail	Middleborough/Lakeville	B4D0D8	-70.91736947	41.87747612
Needham Heights	NeedComm01	Commuter Rail	Needham	B4D0D8	-71.23605562	42.29318422
Needham Center	NeedComm02	Commuter Rail	Needham	B4D0D8	-71.23785482	42.28023533
Needham Junction	NeedComm03	Commuter Rail	Needham	B4D0D8	-71.23657136	42.27300524
Hersey	NeedComm04	Commuter Rail	Needham	B4D0D8	-71.21460175	42.2757735
West Roxbury	NeedComm05	Commuter Rail	Needham	B4D0D8	-71.1598143	42.28152183
Highland	NeedComm06	Commuter Rail	Needham	B4D0D8	-71.15422694	42.28480193
Bellevue	NeedComm07	Commuter Rail	Needham	B4D0D8	-71.14547359	42.28658429
Roslindale Village	NeedComm08	Commuter Rail	Needham	B4D0D8	-71.13165992	42.28705794
Forest Hills	NeedComm09	Commuter Rail	Needham	B4D0D9	-71.11419143	42.30077124
Newburyport	NewComm01	Commuter Rail	Newburyport	B4D0D8	-70.87819773	42.79833164
Rowley	NewComm02	Commuter Rail	Newburyport	B4D0D8	-70.85854975	42.72501905
Ipswich	NewComm03	Commuter Rail	Newburyport	B4D0D8	-70.84060167	42.67687056
Hamilton/Wenham	NewComm04	Commuter Rail	Newburyport	B4D0D8	-70.87409514	42.61108929
North Beverly	NewComm05	Commuter Rail	Newburyport	B4D0D8	-70.88396702	42.58291909
Beverly	NewComm06	Commuter Rail	Newburyport	B4D0D8	-70.88535021	42.547906
Salem	NewComm07	Commuter Rail	Newburyport	B4D0D8	-70.8959819	42.52396176
Swampscott	NewComm08	Commuter Rail	Newburyport	B4D0D8	-70.92176137	42.47423988
Lynn/Central Square	NewComm09	Commuter Rail	Newburyport	B4D0D8	-70.94732926	42.46197534
River Works	NewComm10	Commuter Rail	Newburyport	B4D0D8	-70.96976718	42.44979824
Chelsea	NewComm11	Commuter Rail	Newburyport	B4D0D8	-71.03343704	42.395491
North Station	NewComm12	Commuter Rail	Newburyport	B4D0D8	-71.05998294	42.36514376
Halifax	PlyComm01	Commuter Rail	Plymouth	B4D0D8	-70.82081138	42.01296971
Plymouth	PlyComm02	Commuter Rail	Plymouth	B4D0D8	-70.69236355	41.98215911
Readville	ProComm01	Commuter Rail	Providence	B4D0D8	-71.13403828	42.23745987
Route 128	ProComm02	Commuter Rail	Providence	B4D0D8	-71.14741822	42.20965794
Canton Junction	ProComm03	Commuter Rail	Providence	B4D0D8	-71.15385145	42.16299331
Sharon	ProComm04	Commuter Rail	Providence	B4D0D8	-71.18428422	42.12480455
Mansfield	ProComm05	Commuter Rail	Providence	B4D0D8	-71.21986479	42.03278162
Attleboro	ProComm06	Commuter Rail	Providence	B4D0D8	-71.28429352	41.94174467
South Attleboro	ProComm07	Commuter Rail	Providence	B4D0D8	-71.35493347	41.89775579
Providence	ProComm08	Commuter Rail	Providence	B4D0D8	-71.41221131	41.83041608
T F Green Airport (P)	ProComm09	Commuter Rail	Providence	B4D0D8	-71.44299836	41.72621403
