"x2univ1","x2univ2a","x2univ2b","w1student","w1parent","w1mathtch","w1scitch","w2student","w2w1stu"
"11",1,1,201.0462,301.130032,294.046787,0,204.252748,207.737558
"01",2,1,0,0,0,0,59.516205,0
"01",2,1,0,0,0,0,10.505635,0
"11",1,5,231.192107,307.687227,281.325906,0,273.75311,275.277375
"10",1,7,173.530284,238.468137,306.817557,304.159289,0,0
"11",1,1,182.057735,0,215.74949,0,200.628874,251.591337
"01",2,1,0,0,0,0,115.639353,0
"11",1,1,53.044489,74.633033,58.265121,0,56.263059,56.69805
"01",2,1,0,0,0,0,17.229296,0
"11",1,1,218.884636,289.460531,251.132537,293.946124,216.404422,218.867546
"11",1,1,232.513166,0,376.567613,350.744361,251.53213,321.879455
"11",1,1,670.027415,872.594662,1101.201565,997.624598,701.72885,718.368242
"11",1,1,119.874435,0,143.239649,145.147126,133.012589,166.784155
"11",1,1,375.819487,500.167835,457.315602,475.007059,419.376299,421.368349
"11",1,1,37.327546,45.683174,34.895166,27.26991,26.577047,29.507613
"11",1,1,51.971737,68.947275,74.669606,83.741253,55.77272,57.934871
"11",1,1,61.003029,75.640391,77.601708,67.419315,75.99789,71.960494
"11",1,1,104.790675,0,128.470761,135.686614,161.210964,227.382364
"11",1,1,190.698814,248.421237,324.735627,202.295502,204.562611,201.393822
"10",1,7,258.764691,0,422.571293,414.540368,0,0
"11",1,1,359.77168,468.540302,591.290935,535.675212,339.962453,356.498704
"01",2,1,0,0,0,0,175.347621,0
"11",1,1,310.78035,386.554822,536.661451,600.973986,337.267569,345.267464
"11",1,1,209.052111,259.755424,373.261471,0,209.677413,205.753218
"11",1,1,146.855802,187.3321,201.951554,211.086246,141.892627,140.648402
"11",1,1,246.87862,324.872863,289.313308,320.784418,213.363149,220.802439
"11",1,1,372.869993,0,654.420405,0,358.46133,458.829158
"11",1,1,157.891787,217.680423,155.699802,0,151.400563,152.422077
"11",1,1,182.912303,247.070858,0,0,194.064071,196.899513
"11",1,1,188.175801,249.633371,217.017845,0,190.551981,191.886079
"11",1,1,44.040104,55.666776,64.923673,53.054846,46.066693,47.355578
"11",1,1,89.124507,117.861298,102.25507,119.687722,89.931285,90.711039
"11",1,1,208.164661,260.880246,246.169609,256.346623,190.218817,191.470805
"11",1,1,768.835797,965.778483,0,1120.514434,792.561047,821.292719
"01",2,1,0,0,0,0,5.928791,0
"11",1,1,189.529761,252.239954,230.629118,0,267.182529,268.27335
"11",1,1,71.450297,92.85258,82.108052,0,69.78501,71.009193
"11",1,1,218.205363,327.922294,387.251882,0,227.243926,227.741261
"11",1,1,230.089486,0,307.093848,285.552293,303.712868,343.71618
"10",1,7,141.956011,210.256177,0,0,0,0
"01",2,1,0,0,0,0,79.887076,0
"11",1,1,81.39476,106.977611,97.259743,98.554921,84.441746,85.59318
"11",1,1,1037.330818,1347.103234,1398.948541,0,878.301321,902.889906
"11",1,1,195.555885,267.965087,355.720137,363.370164,193.2763,210.772055
"11",1,1,69.98698,75.83741,86.581824,46.018084,73.680644,74.559857
"10",1,7,230.144916,0,296.315922,366.763473,0,0
"11",1,1,25.729574,27.880389,31.830398,0,28.527463,28.886949
"11",1,1,275.419093,334.596257,293.364668,331.542423,276.34048,281.581208
"11",1,1,55.285563,73.63221,0,0,50.185205,51.469666
"11",1,1,187.599582,0,214.539905,238.60995,228.402405,239.198731
"11",1,1,150.256685,216.478453,221.465674,0,153.335167,154.099814
"11",1,1,56.787316,69.166269,63.838793,73.829656,54.100274,55.175759
"11",1,1,224.059941,322.784715,274.791085,0,235.952281,237.916052
"11",1,1,240.030103,309.765145,0,0,261.275968,257.473412
"11",1,1,719.731053,960.591582,0,1351.300264,745.869798,759.225905
"11",1,1,98.358119,119.298591,90.489933,125.322008,100.614706,103.238206
